NUISANCE_PARAMETERS
HTX_BKGNORM_TTBARBB  0.901827 +0.233798 -0.233798
EG_RESOLUTION_ALL  0.00330515 +0.993377 -0.993377
EG_SCALE_ALL  0.00108587 +0.993363 -0.993363
EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR  -0.0017317 +0.993352 -0.993352
EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR  -0.00414076 +0.993373 -0.993373
FT_EFF_Eigen_B_0  -0.64575 +0.953617 -0.953617
FT_EFF_Eigen_B_1  -0.253889 +0.982499 -0.982499
FT_EFF_Eigen_B_2  -0.00151221 +0.992655 -0.992655
FT_EFF_Eigen_B_3  0.00299036 +0.993318 -0.993318
FT_EFF_Eigen_B_4  -0.000136583 +0.993347 -0.993347
FT_EFF_Eigen_C_0  -0.951214 +0.943724 -0.943724
FT_EFF_Eigen_C_1  -0.075594 +0.977665 -0.977665
FT_EFF_Eigen_C_2  -0.0819453 +0.992325 -0.992325
FT_EFF_Eigen_Light_0  -0.490616 +0.927476 -0.927476
FT_EFF_Eigen_Light_1  0.0105448 +0.993382 -0.993382
FT_EFF_Eigen_Light_10  -0.00948525 +0.990597 -0.990597
FT_EFF_Eigen_Light_11  0.00262292 +0.992634 -0.992634
FT_EFF_Eigen_Light_12  0.0241782 +0.992412 -0.992412
FT_EFF_Eigen_Light_13  -0.0285217 +0.993715 -0.993715
FT_EFF_Eigen_Light_14  -0.008894 +0.993234 -0.993234
FT_EFF_Eigen_Light_15  0.00362424 +0.993256 -0.993256
FT_EFF_Eigen_Light_2  0.00447058 +0.993331 -0.993331
FT_EFF_Eigen_Light_3  0.000873434 +0.993343 -0.993343
FT_EFF_Eigen_Light_4  0.00740812 +0.993356 -0.993356
FT_EFF_Eigen_Light_5  1.88248e-05 +0.993347 -0.993347
FT_EFF_Eigen_Light_6  2.68639e-07 +0.993347 -0.993347
FT_EFF_Eigen_Light_7  0.400324 +0.984902 -0.984902
FT_EFF_Eigen_Light_8  -0.123705 +0.989634 -0.989634
FT_EFF_Eigen_Light_9  0.0226315 +0.993457 -0.993457
FT_EFF_extrapolation  -0.630871 +0.924956 -0.924956
FT_EFF_extrapolation_from_charm  0.493617 +0.945442 -0.945442
HTX_BKGNP_OTHERS_Dibosons_XS_0l_0T0H  0.0373505 +0.964969 -0.964969
HTX_BKGNP_OTHERS_Dibosons_XS_0l_0T1H  0.0039643 +0.988729 -0.988729
HTX_BKGNP_OTHERS_Dibosons_XS_0l_0T2H  -0.000513074 +0.993458 -0.993458
HTX_BKGNP_OTHERS_Dibosons_XS_0l_1T0H  -0.0270214 +0.945597 -0.945597
HTX_BKGNP_OTHERS_Dibosons_XS_0l_1T1H  0.0778024 +0.974852 -0.974852
HTX_BKGNP_OTHERS_Dibosons_XS_0l_2T0_1H  -0.0931988 +1.00885 -1.00885
HTX_BKGNP_OTHERS_Dibosons_XS_0l_2TH  -0.0323498 +0.990384 -0.990384
HTX_BKGNP_OTHERS_Dibosons_XS_1l_0T0H  -0.0996289 +1.00842 -1.00842
HTX_BKGNP_OTHERS_Dibosons_XS_1l_0T1H  -0.0458576 +1.00208 -1.00208
HTX_BKGNP_OTHERS_Dibosons_XS_1l_0T2H  0.012509 +0.990407 -0.990407
HTX_BKGNP_OTHERS_Dibosons_XS_1l_1T0H  -0.0521289 +1.00231 -1.00231
HTX_BKGNP_OTHERS_Dibosons_XS_1l_1T1H  0.0270101 +0.987245 -0.987245
HTX_BKGNP_OTHERS_Dibosons_XS_1l_2T0_1H  -0.00727158 +0.99419 -0.99419
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_0Tex0Hex  -0.152279 +0.985969 -0.985969
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_0Tex1Hex  -0.132669 +0.992733 -0.992733
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_1Tex0Hex  0.0320456 +0.910582 -0.910582
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_1Tex1Hex  0.0181457 +0.981221 -0.981221
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_2THin  0.0636673 +0.888 -0.888
HTX_BKGNP_OTHERS_QCD0L_XS_0lepHighMtbmin_2Tin0_1Hwin  -0.0693755 +1.01898 -1.01898
HTX_BKGNP_OTHERS_QCD0L_XS_0lepLowMtbmin_0Tex0Hex  0.266751 +0.717864 -0.717864
HTX_BKGNP_OTHERS_QCD0L_XS_0lepLowMtbmin_0Tex1Hex  0.356504 +0.769168 -0.769168
HTX_BKGNP_OTHERS_QCD0L_XS_0lepLowMtbmin_1Tex0Hex  0.180501 +0.668857 -0.668857
HTX_BKGNP_OTHERS_QCD0L_XS_0lepLowMtbmin_1Tex1Hex  0.490543 +0.89452 -0.89452
HTX_BKGNP_OTHERS_QCD0L_XS_0lepLowMtbmin_2Tin0_1Hwin  -0.210905 +0.736416 -0.736416
HTX_BKGNP_OTHERS_QCD0L_XS_0lepOther_0Tin2Hin  -0.135874 +0.823116 -0.823116
HTX_BKGNP_OTHERS_QCD0L_XS_0lepOther_2THin  0.131472 +0.820279 -0.820279
HTX_BKGNP_OTHERS_QCD_1l_e_0T0H  -0.308289 +0.390513 -0.390513
HTX_BKGNP_OTHERS_QCD_1l_e_0T1H  -0.120185 +0.545505 -0.545505
HTX_BKGNP_OTHERS_QCD_1l_e_1T0H  -0.0842291 +0.995196 -0.995196
HTX_BKGNP_OTHERS_QCD_1l_e_2T0_1H  0.00585946 +0.991768 -0.991768
HTX_BKGNP_OTHERS_QCD_1l_mu_0T0H  0.00769011 +0.994037 -0.994037
HTX_BKGNP_OTHERS_QCD_1l_mu_0T1H  0.0611254 +0.990192 -0.990192
HTX_BKGNP_OTHERS_QCD_1l_mu_1T0H  -0.288819 +0.878187 -0.878187
HTX_BKGNP_OTHERS_QCD_1l_mu_2T0_1H  -0.0227184 +0.953165 -0.953165
HTX_BKGNP_OTHERS_SM4tops_XS_0l  0.0350285 +0.987086 -0.987086
HTX_BKGNP_OTHERS_SM4tops_XS_1l  -0.0980188 +1.00087 -1.00087
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_0Tex0Hex  0.119315 +0.894557 -0.894557
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_0Tex1Hex  -0.0286425 +0.884401 -0.884401
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_1Tex0Hex  0.0366237 +0.982437 -0.982437
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_1Tex1Hex  0.00467772 +0.963131 -0.963131
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_2THin  -0.135703 +0.718818 -0.718818
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepHighMtbmin_2Tin0_1Hwin  -0.0156163 +0.968903 -0.968903
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepLowMtbmin_0Tex0Hex  0.132076 +0.953143 -0.953143
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepLowMtbmin_0Tex1Hex  -0.0789421 +0.837787 -0.837787
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepLowMtbmin_1Tex0Hex  0.294771 +0.877661 -0.877661
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepLowMtbmin_1Tex1Hex  -0.0895512 +0.823091 -0.823091
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepLowMtbmin_2Tin0_1Hwin  -0.0147851 +0.9719 -0.9719
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepOther_0Tin2Hin  0.0156727 +1.01258 -1.01258
HTX_BKGNP_OTHERS_Singletop_DRDS_0lepOther_2THin  -0.0811217 +0.844012 -0.844012
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_0Tex0Hex  0.829259 +0.547837 -0.547837
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_0Tex1Hex  0.943138 +0.599888 -0.599888
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_0Tin2Hin  -0.0161385 +0.955245 -0.955245
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_1Tex0Hex  0.669874 +0.524373 -0.524373
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_1Tex1Hex  -0.0719961 +0.835522 -0.835522
HTX_BKGNP_OTHERS_Singletop_DRDS_1lep_2Tin0_1Hwin  0.369367 +0.746153 -0.746153
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_0Tex0Hex  -0.0248117 +0.985175 -0.985175
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_0Tex1Hex  0.0339069 +0.970097 -0.970097
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_1Tex0Hex  -0.188789 +0.988072 -0.988072
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_1Tex1Hex  0.0089663 +0.989403 -0.989403
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_2THin  0.0428675 +0.977297 -0.977297
HTX_BKGNP_OTHERS_Singletop_XS_0lepHighMtbmin_2Tin0_1Hwin  -0.0144968 +0.992792 -0.992792
HTX_BKGNP_OTHERS_Singletop_XS_0lepLowMtbmin_0Tex0Hex  0.0393826 +0.982964 -0.982964
HTX_BKGNP_OTHERS_Singletop_XS_0lepLowMtbmin_0Tex1Hex  0.09513 +0.982536 -0.982536
HTX_BKGNP_OTHERS_Singletop_XS_0lepLowMtbmin_1Tex0Hex  0.00540849 +0.992786 -0.992786
HTX_BKGNP_OTHERS_Singletop_XS_0lepLowMtbmin_1Tex1Hex  0.0479721 +0.988227 -0.988227
HTX_BKGNP_OTHERS_Singletop_XS_0lepLowMtbmin_2Tin0_1Hwin  -0.00799786 +0.993319 -0.993319
HTX_BKGNP_OTHERS_Singletop_XS_0lepOther_0Tin2Hin  -0.000634811 +0.993254 -0.993254
HTX_BKGNP_OTHERS_Singletop_XS_0lepOther_2THin  0.0249314 +0.990475 -0.990475
HTX_BKGNP_OTHERS_Singletop_XS_1lep_0Tex0Hex  -0.187441 +1.00498 -1.00498
HTX_BKGNP_OTHERS_Singletop_XS_1lep_0Tex1Hex  -0.160972 +1.00971 -1.00971
HTX_BKGNP_OTHERS_Singletop_XS_1lep_0Tin2Hin  0.0214717 +0.990093 -0.990093
HTX_BKGNP_OTHERS_Singletop_XS_1lep_1Tex0Hex  -0.00677574 +0.994392 -0.994392
HTX_BKGNP_OTHERS_Singletop_XS_1lep_1Tex1Hex  0.0804888 +0.979068 -0.979068
HTX_BKGNP_OTHERS_Singletop_XS_1lep_2Tin0_1Hwin  0.00534387 +0.993176 -0.993176
HTX_BKGNP_OTHERS_TopEW_XS_0l  0.014894 +0.986535 -0.986535
HTX_BKGNP_OTHERS_TopEW_XS_1l  -0.0663626 +0.99561 -0.99561
HTX_BKGNP_OTHERS_ttH_XS_0l  -0.00611898 +0.994292 -0.994292
HTX_BKGNP_OTHERS_ttH_XS_1l  0.0440447 +0.978383 -0.978383
HTX_BKGNP_TTBARBB_AMCHpp  0.35479 +0.840581 -0.840581
HTX_BKGNP_TTBARBB_AMCPY8  0.240935 +0.879335 -0.879335
HTX_BKGNP_TTBARBB_CSS_KIN  0.0517098 +0.982819 -0.982819
HTX_BKGNP_TTBARBB_GEN  0.18241 +0.443739 -0.443739
HTX_BKGNP_TTBARBB_GLOSOFT  0.273199 +0.973947 -0.973947
HTX_BKGNP_TTBARBB_MPI  0.00497786 +0.993123 -0.993123
HTX_BKGNP_TTBARBB_MSTW  -0.226651 +0.973391 -0.973391
HTX_BKGNP_TTBARBB_NNPDF  -0.0887521 +0.971217 -0.971217
HTX_BKGNP_TTBARBB_PS  0.297094 +0.713124 -0.713124
HTX_BKGNP_TTBARBB_Q_CMMPS  -0.0473571 +0.980196 -0.980196
HTX_BKGNP_TTBARBB_RAD  -0.18794 +0.881491 -0.881491
HTX_BKGNP_TTBARBB_SCALE  0.256276 +0.978442 -0.978442
HTX_BKGNP_TTBARBB_UE  -0.16415 +0.989086 -0.989086
HTX_BKGNP_TTBARCC_GEN  -0.30146 +0.788951 -0.788951
HTX_BKGNP_TTBARCC_NNLO_REWEIGHTING_OFF  -0.91093 +0.88944 -0.88944
HTX_BKGNP_TTBARCC_RAD  -0.8585 +0.796123 -0.796123
HTX_BKGNP_TTBARCC_XS  0.578707 +0.872405 -0.872405
HTX_BKGNP_TTBARLIGHT_GEN  0.347158 +0.50055 -0.50055
HTX_BKGNP_TTBARLIGHT_NNLO_REWEIGHTING_OFF  -0.630719 +0.838041 -0.838041
HTX_BKGNP_TTBARLIGHT_PS  1.02081 +0.617667 -0.617667
HTX_BKGNP_TTBARLIGHT_RAD  0.177771 +0.784458 -0.784458
HTX_BKGNP_TTBAR_XS  0.351212 +0.931163 -0.931163
HTX_BKGNP_VJETSBB_XS_0l_0T0H  0.0116667 +0.885118 -0.885118
HTX_BKGNP_VJETSBB_XS_0l_0T1H  0.160891 +0.882214 -0.882214
HTX_BKGNP_VJETSBB_XS_0l_0T2H  0.0208821 +0.988284 -0.988284
HTX_BKGNP_VJETSBB_XS_0l_1T0H  -0.330693 +0.955606 -0.955606
HTX_BKGNP_VJETSBB_XS_0l_1T1H  0.13769 +0.967733 -0.967733
HTX_BKGNP_VJETSBB_XS_0l_2T0_1H  -0.0238992 +0.990134 -0.990134
HTX_BKGNP_VJETSBB_XS_0l_2TH  0.234862 +0.910626 -0.910626
HTX_BKGNP_VJETSBB_XS_1l_0T0H  -0.216583 +0.985824 -0.985824
HTX_BKGNP_VJETSBB_XS_1l_0T1H  -0.359953 +0.982368 -0.982368
HTX_BKGNP_VJETSBB_XS_1l_0T2H  0.017407 +0.983449 -0.983449
HTX_BKGNP_VJETSBB_XS_1l_1T0H  -0.0586249 +0.977275 -0.977275
HTX_BKGNP_VJETSBB_XS_1l_1T1H  0.0702894 +0.975486 -0.975486
HTX_BKGNP_VJETSBB_XS_1l_2T0_1H  -0.0207477 +0.989896 -0.989896
HTX_BKGNP_VJETSCC_XS_0l_0T0H  -0.116329 +1.00047 -1.00047
